QR-Code,,,80AGO264
Sample Code,,,240500323997
Sample Date,,,
Patient Code,,,240500323997
Patient Name,,,
Patient Date of Birth,,,
Assay Date,,,11.07.2024
Test Date,,,11.07.2024
TestBy,,,PF
Approval Date,,,22.07.2024
ApprovalBy,,,Marcel Lackner
Additional Information,,,
Tags,,,herborn
,,,
,,,µg/ml
Ach d,House cricket,Acheta domesticus,7.9699999999999998,,allergen_pro_house_cricket
Aci spp.,Caviar,Acipenseridae,0,,allergen_pro_caviar
Act d,Kiwi,Actinidia deliciosa,0,,allergen_pro_kiwi
Ada d,Baobab,Adansonia digitata,1.0800000000000001,,allergen_pro_baobab
Aga,Agar Agar,"Agarose, Agaropectin",3.52,,allergen_pro_agar_agar
Aga b,White mushroom,Agaricus bisporus,1.1200000000000001,,allergen_pro_white_mushroom
All a,Shallot,Allium ascalonicum,0.60999999999999999,,allergen_pro_shallot
All c,Onion,Allium cepa,0.20999999999999999,,allergen_pro_onion
All p,Leek,Allium porrum,1.51,,allergen_pro_leek
All s,Garlic,Allium sativum,1.53,,allergen_pro_garlic
All sc,Chives,Allium schoenoprasum,1.3799999999999999,,allergen_pro_chives
All u,Wild garlic,Allium ursinum,0.16,,allergen_pro_wild_garlic
Alo v,Aloe,Aloe vera,0,,allergen_pro_aloe
Ama t,Amaranth,Amaranthus spp.,1.3200000000000001,,allergen_pro_amaranth
Ame a,"Tea, black",Amellia assamica,0.44,,"allergen_pro_tea,_black"
Ana c,Pineapple,Ananaso comosus,2.0600000000000001,,allergen_pro_pineapple
Ana o,Cashew,Anacardium occidentale,0,,allergen_pro_cashew
Ana p,Duck,Anas platyrhynchos domestica,0,,allergen_pro_duck
Ane g,Dill,Anethum graveolens,0,,allergen_pro_dill
Ang a,Eel,Anguilla anguilla,0.73999999999999999,,allergen_pro_eel
Api g,Celery Bulb,Apium graveolens,1.3799999999999999,,allergen_pro_celery_bulb
Api g_stalk,Celery Stalk,Apium graveolens Stalk,0.90000000000000002,,allergen_pro_celery_stalk
Api m_honey,Honey,Apis mellifera,5.75,,allergen_pro_honey
Ara h,Peanut,Arachis hypogea,0.5,,allergen_pro_peanut
Arc l,Greater burdock root,Arctium lappa,1.8799999999999999,,allergen_pro_greater_burdock_root
Arm r,Horseradish,Armoracia rusticana,8.5700000000000003,,allergen_pro_horseradish
Aro spp.,Aronia,Aronia spp.,0,,allergen_pro_aronia
Art d,Tarragon,Artemisia dracunculus,0,,allergen_pro_tarragon
Asp n,Aspergillus niger,Aspergillus niger,16.609999999999999,,allergen_pro_aspergillus_niger
Asp o,White asparagus,Asparagus officinalis,7.9299999999999997,,allergen_pro_white_asparagus
Ast a,Noble crayfish,Astacus astacus,1.04,,allergen_pro_noble_crayfish
Ave s,Oat,Avena sativa,2.8100000000000001,,allergen_pro_oat
Bam v,Bamboo sprouts,Bambusa vulgaris,0,,allergen_pro_bamboo_sprouts
Ber e,Brazil nut,Bertholletia excelsa,0.22,,allergen_pro_brazil_nut
Bet vu,Chard,Beta vulgaris spp. vulgaris,0.37,,allergen_pro_chard
Bet vul,Red beet,Beta vulgaris subsp. vulgaris,1.0800000000000001,,allergen_pro_red_beet
Bol e,Boletus,Boletus edulis,0.5,,allergen_pro_boletus
Bos d 4,Cow's milk Bos d 4 * (Alpha-Lactalbumin),Bos domesticus,8.5199999999999996,,allergen_pro_cow's_milk_bos_d_4_(alpha-lactalbumin)
Bos d 5,Cow's milk Bos d 5 * (Beta-Lactoglobulin),Bos domesticus,34.07,,allergen_pro_cow's_milk_bos_d_5_(beta-lactoglobulin)
Bos d 8,Cow's milk Bos d 8 * (Casein),Bos domesticus,33,,allergen_pro_cow's_milk_bos_d_8_(casein)
Bos d_but,Buttermilk,Bos primigenius f. taurus,24.260000000000002,,allergen_pro_buttermilk
Bos d_Ca,Camembert,Bos domesticus Ca,16.170000000000002,,allergen_pro_camembert
Bos d_Em,Emmental,Bos domesticus Em,7.9100000000000001,,allergen_pro_emmental
Bos d_Go,Gouda,Bos domesticus Go,13.34,,allergen_pro_gouda
Bos d_Hue,Cottage cheese,Bos domesticus Hü,21.440000000000001,,allergen_pro_cottage_cheese
Bos d_meat,Beef,Bos domesticus,3.5800000000000001,,allergen_pro_beef
Bos d_milk,Cow's milk,Bos domesticus,30.109999999999999,,allergen_pro_cow's_milk
Bos d_Mo,Mozzarella,Bos domesticus Mo,30.149999999999999,,allergen_pro_mozzarella
Bos d_Pa,Parmesan,Bos domesticus Pa,9.8399999999999999,,allergen_pro_parmesan
Bos d_veal_meat,Veal,Bos domesticus,0,,allergen_pro_veal
Bra n,Rapeseed,Brassica napus,44.140000000000001,,allergen_pro_rapeseed
Bra o,Cabbage,Brassica oleracea var. Capitata,0.39000000000000001,,allergen_pro_cabbage
Bra o_bot,Cauliflower,Brassica oleracea var botrytis,4.7999999999999998,,allergen_pro_cauliflower
Bra o_cap,White cabbage,Brassica oleracea var. capitata,0,,allergen_pro_white_cabbage
Bra o_gem,Brussels sprouts,Brassica oleracea var. gemmifera,0,,allergen_pro_brussels_sprouts
Bra o_gon,Kohlrabi,Brassica oleracea var. gongylodes,2.5899999999999999,,allergen_pro_kohlrabi
Bra o_ita,Broccoli,Brassica oleracea var. italica,0,,allergen_pro_broccoli
